Bulgaria,0
Lithuania,1975
Philippines,336
Czech Republic,673
Portugal,299
Denmark,39
Serbia,724
Greece,923
Chile,374
Norway,43
Sweden,128
Croatia,117
Hungary,905
Poland,15
Romania,555
Finland,394
Canada,2067
Brazil,424
Slovakia,128
New Zealand,210
Argentina,550
Turkey,274
Germany,23
Australia,314
Netherlands,99
Singapore,1041
United States,8
Austria,148
Belgium,10
Spain,1200
Venezuela,420
Mexico,1113
Israel,269
Switzerland,22
Colombia,4
United Kingdom,334
Peru,290
Italy,862
Malaysia,324
Russia,725
France,131
Ukraine,882
Vietnam,0
Thailand,894
