Guayana,0
Mexico,389
Paraguay,492
Canada,352
Israel,299
Australia,580
New Zealand,169
Moldova,650
Estonia,104
Japan,1213
Denmark,533
Russia,241
Romania,649
Macedonia,287
Vietnam,686
Chile,754
Slovakia,193
Ecuador,507
South Korea,381
Slovenia,889
Hungary,1180
United Arab Emirates,80
Venezuela,318
Thailand,469
Lithuania,776
Brasil,196
United Kingdom,319
The Netherlands,136
Peru,1686
Montenegro,1715
Luxembourg,448
Bulgaria,253
Ukraine,1595
United States,225
China,300
Norway,664
Belgium,11
Uruguay,293
Croatia,1277
Germany,83
India,59
Greece,0
Bosnia and Herzegovina,15
